field_1,Unnamed: 0,주차장id,주차장이름,주소,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"13","13","20517333",삼청주차장,서울 종로구 삼청동 1-12,126.981291031756,37.5882448877126,H,삼청동,126.981758302922,37.5849977825699
"15","15","18561887",효자공영주차장,서울 종로구 효자동 68-1,126.970600284052,37.5830782172559,H,청운효자동,126.97064969123,37.5841161738413
"16","16","20518498",신교동공영주차장,서울 종로구 신교동 66,126.969653395711,37.5840870901308,H,청운효자동,126.97064969123,37.5841161738413
"17","17","230007731",청운효자동주민센터 주차장,서울 종로구 궁정동 12-1,126.97052969961,37.5840701932904,H,청운효자동,126.97064969123,37.5841161738413
"20","20","1814572427",옥인유휴지공영주차장,서울 종로구 옥인동 47-45,126.967756911511,37.5817043607677,H,청운효자동,126.97064969123,37.5841161738413
"25","27","2102807791",부암주차장 거주자우선주차,서울 종로구 부암동 369-15,126.960636624373,37.5930547092363,H,부암동,126.964061015983,37.5924142953596
"26","32","25627713",누상공영주차장,서울 종로구 누상동 166-50,126.964660027032,37.5803808155186,H,청운효자동,126.97064969123,37.5841161738413
"27","33","11512383",홍제3동 제2공영주차장,서울 서대문구 홍제동 8-173,126.950676884574,37.5930617793773,H,홍제3동,126.949743382569,37.5937821789907
"28","34","11512382",홍제3동제1거주자주차장,서울 서대문구 홍제동 278-41,126.948193483372,37.595071728832,H,홍제3동,126.949743382569,37.5937821789907
"29","35","11512379",홍은1동 제1공영주차장,서울 서대문구 홍은동 9-164,126.949540788207,37.5986798813401,H,홍은1동,126.947108251211,37.5989166778989
"30","36","11512463",홍제2동 제1공영주차장,서울 서대문구 홍제동 192-14,126.947663731751,37.5883464908343,H,홍제2동,126.949395266731,37.5861524276881
"31","40","11512428",홍은1동 제4공영주차장,서울 서대문구 홍은동 11-23,126.949185630264,37.6014043249341,H,홍은1동,126.947108251211,37.5989166778989
"32","42","988277502",평창동 공영주차장,서울 종로구 평창동 114-3,126.977528483895,37.6113267157834,H,평창동,126.968357810931,37.6063916960432
"33","43","678089753",평창동460-3 공영주차장,서울 종로구 평창동 460-3,126.974896596667,37.6106477404696,H,평창동,126.968357810931,37.6063916960432
"34","44","134964964",노상공영주차장,서울 종로구 구기동 146-2,126.957291606827,37.6112247213951,H,평창동,126.968357810931,37.6063916960432
"35","45","13097598",비봉 공영주차장,서울 종로구 구기동 139-9,126.956540130911,37.6122155349094,H,평창동,126.968357810931,37.6063916960432
"617","1985","340801307",유진상가앞노상공영주차장,서울 서대문구 홍제동 294-1,126.942994393506,37.5913365234674,H,홍은1동,126.947108251211,37.5989166778989
"618","1986","20576800",인왕시장공영노상주차장,서울 서대문구 홍제동 294-45,126.943236690362,37.5913501551191,H,홍은1동,126.947108251211,37.5989166778989
"623","1993","1284599132",유진산가앞노상공영주차장,서울 서대문구 홍제동 294-7,126.942831446346,37.5912048998189,H,홍제3동,126.949743382569,37.5937821789907
"629","2008","11512427",홍은1동 제3공영주차장,서울 서대문구 홍은동 8-1262,126.949866698239,37.6057545968434,H,홍은1동,126.947108251211,37.5989166778989
"655","2175","1321824667",홍은1동공영주차장 개방화장실,서울 서대문구 홍은동 9-164,126.949554435255,37.5985933920429,H,홍은1동,126.947108251211,37.5989166778989
"656","2176","2083080242",홍은1동 제4공영주차장 전기차충전소,서울 서대문구 홍은동 11-23,126.949181017199,37.6015268576575,H,홍은1동,126.947108251211,37.5989166778989
