field_1,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
"15","2611",응암역,Eungam,6호선,"610",응암역 6호선,서울 은평구 증산로 지하 477,37.5987423282207,126.915512801302,"0",H,신사1동,126.911769905814,37.5977927383244
"16","2612",역촌역,Yeokchon,6호선,"611",역촌역 6호선,서울 은평구 서오릉로 지하 63,37.6060390534435,126.922967946327,"0",H,녹번동,126.9299199828,37.6022161609708
"17","2613",불광역,Bulgwang,6호선,"612",불광역 6호선,서울 은평구 통일로 지하 723-1,37.6102072578868,126.92998576213,"1",H,대조동,126.920825111082,37.614189964532
"19","2615",연신내역,Yeonsinnae,6호선,"614",연신내역 6호선,서울 은평구 통일로 지하 849,37.618962003178,126.921162124977,"1",H,갈현1동,126.916741681501,37.6236222973065
"20","2616",구산역,Gusan,6호선,"615",구산역 6호선,서울 은평구 연서로 지하 137-1,37.6112122196295,126.917182386796,"0",H,구산동,126.910376186526,37.6117570303308
"21","2617",새절역,Saejeol,6호선,"616",새절역 6호선,서울 은평구 증산로 지하 400,37.5918270544017,126.913911983591,"0",H,신사2동,126.908223526808,37.5902397256607
"100","0311",연신내역,Yeonsinnae,3호선,"321",연신내역 3호선,서울 은평구 통일로 지하 849,37.618962003178,126.921162124977,"1",H,갈현1동,126.916741681501,37.6236222973065
"101","0312",불광역,Bulgwang,3호선,"322",불광역 3호선,서울 은평구 통일로 지하 723-1,37.6102072578868,126.92998576213,"1",H,대조동,126.920825111082,37.614189964532
"102","0313",녹번역,Nokbeon,3호선,"323",녹번역 3호선,서울 은평구 통일로 지하 602-1,37.6007421809861,126.936019442532,"0",H,녹번동,126.9299199828,37.6022161609708
