분류,시설명,x좌표,y좌표,법정동,행정동
간이운동장,새소리,127.025559,37.600827,돈암동,돈암1동
간이운동장,돈암1동 마을마당,127.021175,37.597746,돈암동,돈암1동
어린이공원,새소리,127.025382,37.600751,돈암동,돈암1동
근린공원,성북,127.023636,37.600528,돈암동,돈암1동
근린공원,개운산,127.0257184,37.59741206,돈암동,돈암1동
어린이공원,햇  님,127.0953,37.59357,망우동,망우3동
어린이공원,꽃동산,127.0991,37.59121,망우동,망우3동
어린이공원,달동산,127.0952,37.59217,망우동,망우3동
어린이공원,샛  별,127.1008,37.59336,망우동,망우3동
간이운동장,반포주공,126.9835,37.501998,반포동,반포본동
간이운동장,장미공원,126.98907,37.505282,반포동,반포본동
간이운동장,푸른공원,126.991238,37.500712,반포동,반포본동
간이운동장,한수공원,126.985769,37.501591,반포동,반포본동
간이운동장,반포본동주민센터,126.986158,37.50044,반포동,반포본동
간이운동장,반포4동주민센터,126.986158,37.500349,반포동,반포본동
어린이공원,나  리,126.987332,37.504209,반포동,반포본동
어린이공원,만  남,126.984721,37.502071,반포동,반포본동
어린이공원,푸  른,126.989554,37.500849,반포동,반포본동
어린이공원,초  롱,126.987471,37.499605,반포동,반포본동
간이운동장,부암동청사주변체육시설,126.9646861,37.59235682,부암동,부암동
소공원,부암튼튼공원,126.964166,37.592305,부암동,부암동
간이운동장,홍제천1체육시설,126.9612391,37.60158549,신영동,부암동
간이운동장,홍제천2체육시설,126.9610904,37.60004295,신영동,부암동
어린이공원,성안공원,127.134773,37.531369,성내동,성내3동
어린이공원,선린공원,127.132711,37.52851478,성내동,성내3동
어린이공원,보람공원,127.131302,37.52471702,성내동,성내3동
간이운동장,역말어린이공원,126.914251,37.606916,역촌동,역촌동
간이운동장,연서어린이공원,126.916664,37.604139,역촌동,역촌동
기타공원,자투리(녹번)마을마당,126.915551,37.599552,역촌동,역촌동
근린공원,백  련,126.919486,37.60836,역촌동,역촌동
근린공원,신  사,126.915235,37.604686,역촌동,역촌동
어린이공원,대조어린이공원,126.918478,37.601073,역촌동,역촌동
어린이공원,길마어린이공원,126.914238,37.606876,역촌동,역촌동
어린이공원,궁말어린이공원,126.916513,37.608641,역촌동,역촌동
어린이공원,호연어린이공원,126.916651,37.604098,역촌동,역촌동
골프연습장,테스트,127.1161666,37.52103247,오륜동,오륜동
테니스장,오륜테니스장,127.1407531,37.51300122,오륜동,오륜동
축구장,송파구여성축구장,127.1228703,37.52528923,오륜동,오륜동
기타,올림픽공원,127.115518,37.520341,오륜동,오륜동
간이운동장,대청공원,127.083375,37.492415,일원동,일원1동
간이운동장,대청근린공원,127.0826513,37.49257812,일원동,일원1동
간이운동장,일원까치공원,127.086504,37.491615,일원동,일원1동
간이운동장,일원까치공원,127.0881961,37.49209477,일원동,일원1동
간이운동장,일원목련공원,127.085475,37.491417,일원동,일원1동
근린공원,대청근린공원,127.0830019,37.49319912,일원동,일원1동
근린공원,아시아,127.0759347,37.51068203,잠실7동,잠실7동
간이운동장,장위2동 어울쉼터,127.054738,37.612296,장위동,장위2동
간이운동장,장위2동 감나무쉼터,127.051625,37.614919,장위동,장위2동
소공원,돌이음,127.052577,37.6093012,장위동,장위2동
수영장,중곡문화체육센터수영장,127.0848034,37.56777776,중곡동,중곡3동
어린이공원,배나무터공원,127.0802718,37.56833955,중곡동,중곡3동
간이운동장,홍제 야외운동시설,126.949353,37.59501817,홍제동,홍제3동
간이운동장,홍제동,126.949011,37.595178,홍제동,홍제3동
간이운동장,홍제교 좌안 상류 간이운동장,126.9463425,37.59298781,홍제동,홍제3동
간이운동장,포방교 상류 간이운동장,126.948164,37.59837295,홍제동,홍제3동
간이운동장,주민센터,126.949694,37.593768,홍제동,홍제3동
기타시설,홍제농구장,126.949353,37.59501817,홍제동,홍제3동
전천후게이트볼장,홍제게이트볼장,126.9477861,37.59471836,홍제동,홍제3동
기타시설,홍제배드민턴장,126.949353,37.59501817,홍제동,홍제3동
근린공원,홍제근린공원,126.952997,37.594742,홍제동,홍제3동
소공원,문화소공원,126.948792,37.594545,홍제동,홍제3동
어린이공원,문화촌어린이공원,126.947351,37.595074,홍제동,홍제3동
어린이공원,불천어린이공원,126.948142,37.59743951,홍제동,홍제3동
