행정동코드,읍면동코드,자치행정동,자치구,행정동
11110550,1101055,종로구 부암동,종로구,부암동
11215760,1105057,광진구 중곡3동,광진구,중곡3동
11230560,1106083,동대문구 전농1동,동대문구,전농1동
11260660,1107068,중랑구 망우3동,중랑구,망우3동
11290580,1108058,성북구 돈암1동,성북구,돈암1동
11290770,1108077,성북구 장위2동,성북구,장위2동
11380625,1112074,은평구 역촌동,은평구,역촌동
11410640,1113064,서대문구 홍제3동,서대문구,홍제3동
11620665,1121066,관악구 서림동,관악구,서림동
11650550,1122056,서초구 반포본동,서초구,반포본동
11680730,1123073,강남구 일원1동,강남구,일원1동
11710566,1124059,송파구 오륜동,송파구,오륜동
11710720,1124078,송파구 잠실7동,송파구,잠실7동
11740660,1125067,강동구 성내3동,강동구,성내3동
